Time (s),Channel 1 (V)
0.001055,0.3643319176454
0.0010575,0.3643319176454
0.00106,0.365688754781939
0.0010625,0.3660279640660737
0.001065,0.3673848012026127
0.0010675,0.3673848012026127
0.00107,0.3673848012026127
0.001072500000000001,0.3687416383391517
0.001075,0.3687416383391517
0.0010775,0.369759266191556
0.00108,0.371116103328095
0.0010825,0.371116103328095
0.001085,0.3721337311804993
0.0010875,0.3721337311804993
0.00109,0.3728121497487688
0.001092500000000001,0.373829777601173
0.001095,0.3741689868853078
0.0010975,0.375186614737712
0.0011,0.3762042425901163
0.0011025,0.3762042425901163
0.001105,0.3775610797266553
0.0011075,0.3779002890107901
0.00111,0.3782394982949248
0.0011125,0.3792571261473291
0.001115000000000001,0.3795963354314638
0.0011175,0.3802747539997333
0.00112,0.3812923818521375
0.0011225,0.3819708004204071
0.001125,0.3826492189886765
0.0011275,0.3833276375569461
0.00113,0.3833276375569461
0.0011325,0.3840060561252155
0.001135000000000001,0.3846844746934851
0.0011375,0.3857021025458893
0.00114,0.3860413118300241
0.0011425,0.3867197303982935
0.001145,0.3870589396824283
0.0011475,0.3877373582506978
0.00115,0.3884157768189673
0.0011525,0.3890941953872368
0.001155,0.3901118232396411
0.001157500000000001,0.3904510325237759
0.00116,0.3911294510920453
0.0011625,0.3924862882285843
0.001165,0.3921470789444496
0.0011675,0.3928254975127191
0.00117,0.3941823346492581
0.0011725,0.3945215439333929
0.001175,0.3941823346492581
0.001177500000000001,0.3955391717857971
0.00118,0.3968960089223361
0.0011825,0.3968960089223361
0.001185,0.3975744274906056
0.0011875,0.3985920553430099
0.00119,0.3992704739112793
0.0011925,0.3996096831954141
0.001195,0.3996096831954141
0.0011975,0.4006273110478183
0.001200000000000001,0.4013057296160879
0.0012025,0.4016449389002226
0.001205,0.4023233574684921
0.0012075,0.4033409853208964
0.00121,0.4036801946050311
0.0012125,0.4040194038891659
0.001215,0.4046978224574354
0.0012175,0.4057154503098397
0.001220000000000001,0.4057154503098397
0.0012225,0.4070722874463787
0.001225,0.4074114967305134
0.0012275,0.4077507060146481
0.00123,0.4080899152987829
0.0012325,0.4091075431511871
0.001235,0.4101251710035914
0.0012375,0.4101251710035914
0.00124,0.4108035895718609
0.001242500000000001,0.4111427988559957
0.001245,0.4124996359925347
0.0012475,0.4128388452766694
0.00125,0.4138564731290737
0.0012525,0.4148741009814779
0.001255,0.4155525195497474
0.0012575,0.4155525195497474
0.00126,0.4158917288338821
0.0012625,0.4169093566862864
0.001265,0.4172485659704211
0.0012675,0.4175877752545559
0.00127,0.4186054031069601
0.0012725,0.4189446123910949
0.001275,0.4192838216752297
0.0012775,0.4206406588117687
0.00128,0.4206406588117687
0.0012825,0.4213190773800382
0.001285000000000001,0.4216582866641729
0.0012875,0.4226759145165772
0.00129,0.4233543330848467
0.0012925,0.4236935423689815
0.001295,0.4247111702213857
0.0012975,0.4247111702213857
0.0013,0.4250503795055205
0.0013025,0.4257287980737899
0.001305,0.4267464259261942
0.001307500000000001,0.4274248444944637
0.00131,0.4277640537785985
0.0013125,0.4287816816310027
0.001315,0.4294601001992722
0.0013175,0.4294601001992722
0.00132,0.4304777280516765
0.0013225,0.4308169373358112
0.001325,0.4318345651882155
0.001327500000000001,0.4325129837564849
0.00133,0.4328521930406197
0.0013325,0.433869820893024
0.001335,0.433869820893024
0.0013375,0.433869820893024
0.00134,0.4345482394612935
0.0013425,0.4359050765978325
0.001345,0.4359050765978325
0.0013475,0.4362442858819673
0.001350000000000001,0.4369227044502367
0.0013525,0.437940332302641
0.001355,0.4386187508709105
0.0013575,0.4382795415867757
0.00136,0.4396363787233147
0.0013625,0.4403147972915843
0.001365,0.440654006575719
0.0013675,0.4413324251439885
0.001370000000000001,0.4413324251439885
0.0013725,0.442010843712258
0.001375,0.443367680848797
0.0013775,0.443367680848797
0.00138,0.4440460994170665
0.0013825,0.4443853087012013
0.001385,0.4450637272694707
0.0013875,0.446081355121875
0.00139,0.4464205644060097
0.001392500000000001,0.4470989829742793
0.001395,0.4477774015425488
0.0013975,0.4484558201108183
0.0014,0.4487950293949531
0.0014025,0.4491342386790878
0.001405,0.4504910758156268
0.0014075,0.4508302850997615
0.00141,0.4511694943838963
0.001412500000000001,0.4515087036680311
0.001415,0.4528655408045701
0.0014175,0.4535439593728395
0.00142,0.4542223779411091
0.0014225,0.4542223779411091
0.001425,0.4552400057935133
0.0014275,0.4545615872252438
0.00143,0.4555792150776481
0.0014325,0.4562576336459175
0.001435000000000001,0.4569360522141871
0.0014375,0.4579536800665913
0.00144,0.4582928893507261
0.0014425,0.4582928893507261
0.001445,0.4586320986348608
0.0014475,0.4593105172031303
0.00145,0.4599889357713998
0.0014525,0.4610065636238041
0.001455000000000001,0.4610065636238041
0.0014575,0.4613457729079388
0.00146,0.4623634007603431
0.0014625,0.4630418193286126
0.001465,0.4627026100444779
0.0014675,0.4637202378968821
0.00147,0.4640594471810169
