Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
-0.01381625371724766,-59.44012521542741,9.940609879147722
-0.0136894259892548,-59.67366700268558,9.367279955871858
-0.01376029467148689,-59.71480101305634,9.683735986078759
-0.01367459062873714,-59.81060076909443,9.944968091279179
-0.01382402534561976,-59.65691081366386,10.60494408541468
-0.01332388016173546,-59.67884013238501,10.09015080525723
-0.0136937916118997,-59.5718172308539,11.75983978977474
-0.01276276442011485,-59.63467794206809,9.39546137226337
-0.01359243379254718,-59.61493240962884,12.08112135852528
-0.01315956491328103,-59.46920203198377,10.62387171184707
-0.01281903468754701,-59.5943507892696,11.95065734397193
-0.0137443456306314,-59.58707082785681,12.73886517121696
-0.01374303185746472,-59.76659258762646,12.0261115542904
-0.01313303919928163,-59.70480956086548,11.84744789970956
-0.01335503921911669,-59.67765594727753,13.26721793607611
-0.012869857543468,-59.58610116891461,13.62372706548726
-0.01300707299359396,-59.51558559198347,13.37999549392339
-0.01331040816531218,-59.35995367563692,12.70307704008665
-0.01226190745672206,-59.45620950115095,14.43913553401703
-0.01261560582655917,-59.43827802780459,14.58373013488333
-0.0132526752189475,-59.4711179522355,15.43557048313912
-0.01312046192024471,-59.34596617019444,14.80536189640278
-0.0131616770183342,-59.58209026644354,15.31345051935914
-0.01321945429072671,-59.58309974004251,17.36613322160233
-0.01271194694078795,-59.37706493065744,15.26509351930652
-0.01253221369960653,-59.45084947209021,17.76175672670624
-0.01314749637133997,-59.34539628974215,17.03708220274471
-0.01231327750907837,-59.32620415974845,19.2177312367611
-0.01252515770941573,-59.29793703458905,19.48087995492074
-0.01237439309561311,-59.19880003261832,19.73936054190558
-0.01262374518621186,-59.45495312212026,20.79387942487216
-0.01174824306571757,-59.05431744398026,20.61019232902865
-0.01202163620074635,-59.21924070792264,19.24935023101398
-0.01171822983657314,-59.19083952738048,21.28711846822783
-0.01178382809830407,-59.12611447093689,21.60195621610654
-0.01209960395709251,-59.22376966365266,21.08815244463126
-0.01188238474968744,-59.24913587166171,21.66122840497028
-0.01207738936060156,-59.19922480767917,20.31822306207442
-0.01158861794059002,-58.9878792134763,24.39287342178716
-0.01135470722406764,-59.06768824045525,21.56913790966093
-0.01200611991875404,-59.22329232651576,24.92454194510915
-0.01139584883133076,-58.93620400379358,24.88511078944389
-0.01181899432551203,-58.95245000560103,26.22173430942919
-0.0115412243639138,-58.95039781830128,25.33693979518114
-0.01021605603608626,-59.07946993970197,26.77732454660507
-0.01053870233385696,-59.01209637051082,26.36107527186241
-0.01089942211253401,-58.80896696179956,27.9823978278246
-0.01049424965480671,-58.56079629830792,28.13747763988928
-0.0110916561067398,-58.89658183879715,28.87276075511716
-0.01004697944809751,-58.55049591798824,29.20168645150679
-0.009841355865519683,-58.70208756263057,30.91873026524974
-0.009762176291136284,-58.59452874676563,30.21302378991425
-0.009942440121250373,-58.51870191815951,32.25611057418499
-0.008905838981159448,-58.53458123442462,32.40569781470472
-0.009079453585464602,-58.37054089247033,31.9030942945414
-0.007852683367057103,-58.35408295146284,33.69411795577031
-0.008655705987241981,-58.33136337980584,33.64975452856171
-0.008628475298685828,-58.15847855912477,34.30385830395679
-0.007963659104504701,-58.19784434336135,34.38524301710891
-0.006630770664201617,-58.05544426969092,36.26896943570958
-0.007024747725240935,-58.01628037488597,35.81953968354843
-0.007187714443625457,-58.08822757503072,36.99442326944096
-0.007405349773600934,-57.67628736021617,38.16622500422334
-0.005960202120840387,-57.76028742077516,38.49632518706147
-0.006036738250690543,-57.57511060276784,39.65215132877424
-0.005701131490738839,-57.55454526375712,38.98811496816106
-0.006117799036881063,-57.68763151282549,40.71428971934498
-0.004707954323950317,-57.37325663976226,40.57306106194912
-0.004736307918607405,-57.31480593361373,41.64622692514189
-0.006969879059756007,-57.28801469067789,42.4156379515359
-0.004970052153996813,-57.03951676222723,43.1830819542443
-0.003693195017446985,-56.9761172368588,44.97190071634447
-0.002890679697201451,-56.87466159114977,45.27851489919243
-0.002639060269339534,-56.80971831385843,46.41313771383698
-0.001928866908132976,-56.7960087474902,46.62190847498928
-0.001976078301056049,-56.4647138717642,46.63908468506108
-0.001737637849063807,-56.57605441341062,47.68502635543371
-0.001424251092240271,-56.2848834616144,48.03048553321098
-0.007182706445996773,-56.22366975250138,49.1956050787403
-0.001557110158167633,-56.19458950451772,51.04649442651122
0.0005799864644859158,-55.89325475205646,50.8883381266536
-4.645581723728982e-05,-55.9250708211606,51.53003095643193
-0.002265963824433895,-55.89920875016519,51.72215349819156
0.001493061235705377,-55.61967473880664,52.58930476500996
-0.009358869647114411,-55.46332598969276,53.02249693811946
0.003308222804915557,-55.40205883548951,54.213907392998
-0.01167636063157325,-55.20478371952748,54.63854054849214
0.003632186270376954,-54.97663732442469,55.76736038753948
-0.00430412503772225,-54.8806151697109,56.90161406994981
0.003859043248793801,-54.82323822310504,56.62252385565634
0.004111403219471859,-54.63106649666113,57.31141188989243
-0.009559035362147335,-54.51805663866657,58.7323298955248
0.004932924841714406,-54.26687373250972,57.68450321854012
0.006508553524909182,-54.13841444332122,59.25515689769617
0.003889524326114301,-54.02581557089226,60.01254684077225
-0.008475089680239384,-53.80361221569396,60.886161424699
0.004684718488490955,-53.75893892880746,60.29210289982205
