Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
-0.01642590659564306,-45.49022568425058,47.18731621238236
-0.01643419042066805,-45.37287633992016,48.17466661708944
-0.01656779920966405,-45.21970140257651,48.90782966162787
-0.01643304811598877,-45.12645911558019,49.67721931936741
-0.01646910502323925,-44.98498941583256,50.38514863455839
-0.01675797031403385,-44.8548673438658,50.92232924530941
-0.01645816133618769,-44.71793164243912,51.63491905640418
-0.01638247418452988,-44.59486233832921,52.19515956072185
-0.01631550456931391,-44.45732760093155,52.90680740132127
-0.01666399156380209,-44.3430683157836,53.75490605789446
-0.01605717739560385,-44.20677904006877,54.07850565410808
-0.01669726359564211,-44.03592322726345,54.86570880545026
-0.01629658893064288,-43.91047541491655,55.27345019093893
-0.0162129707756573,-43.78314584624323,56.13653944649079
-0.01640322354157991,-43.60693086519422,56.81856331402554
-0.01650519948114063,-43.47802301957532,57.3556829573815
-0.01667433984606588,-43.32910370454048,57.92608245779948
-0.01607274252232701,-43.18666592892833,58.6505522320154
-0.01633777241216122,-43.01350645862338,59.35259468392996
-0.01642488143639827,-42.83671806307184,59.8306041878872
-0.01605206659304306,-42.69185290498915,60.47803218820415
-0.01606674110651247,-42.50987525782973,60.99917449417888
-0.01559728571256706,-42.37615600222021,61.65954917761527
-0.01594511113834149,-42.17731895045745,62.08783617585168
-0.01644728134695325,-42.01576236912948,62.66518858497949
-0.01649836891168621,-41.8747979724317,63.17713849570987
-0.0161721811560024,-41.70070584146809,63.8744463214663
-0.0162482495056196,-41.52839045522881,64.25225233385707
-0.01566547904283101,-41.35423275745662,64.80328244986998
-0.01653198452264494,-41.20291564260219,65.49108175313535
-0.01557404423663079,-40.97879729736009,65.87431838404287
-0.01615127430901115,-40.8330483525552,66.48985430379594
-0.01605451713296337,-40.64436650244359,66.85329371372495
-0.01587583475261138,-40.4630676359925,67.17355268158043
-0.01547769276882159,-40.27297988057256,67.69388276193172
-0.01579278648333497,-40.09644193882284,68.18497508597643
-0.01633388167064603,-39.92859904990453,68.62603434668205
-0.01562848512291944,-39.72729822611026,68.97179557186803
-0.01559490604786663,-39.56082539676639,69.52604519615656
-0.01576514667829104,-39.38588082546305,70.01438649199484
-0.01507610191978871,-39.17959586078383,70.30184850017793
-0.0153120780520202,-39.0022989973326,70.84228260801297
-0.01499787811299682,-38.83772193727908,71.12565834861925
-0.01599671347197106,-38.63612537926835,71.67803782864749
-0.01419732501199491,-38.45239919258383,71.9901152288394
-0.01509599939958986,-38.27607484848911,72.24811061816901
-0.01443330649994132,-38.07722459125365,72.71122987530651
-0.01499433057104313,-37.87946801662426,73.06575093070143
-0.01501244552796695,-37.68782086847827,73.38191197927877
-0.01500574029624295,-37.49783354304709,73.75068491639132
-0.01450887640126034,-37.30460038386259,74.06696094263755
-0.01509868722596286,-37.12218815271281,74.34882962489547
-0.01421778452497191,-36.90908407392722,74.69495688897553
-0.01361591149303593,-36.70944609298122,75.09424994921348
-0.01412499156399376,-36.51173428688742,75.2425412538871
-0.01460914809099727,-36.3159590198531,75.60779968305684
-0.01401178728201053,-36.10511391907784,75.88998371697573
-0.01376031091128206,-35.91766568785339,76.19642113849051
-0.01376920737516872,-35.72154766958264,76.40408193744145
-0.01398672810178965,-35.52648943559466,76.6972046966147
-0.01362943904229047,-35.31159940158508,76.99658339549102
-0.01315179954253553,-35.1114610568301,77.19847165266458
-0.0124831999130728,-34.90562462409425,77.49630674169434
-0.01259718548523893,-34.70510816775558,77.61502130517059
-0.0115522883282013,-34.50201042364904,77.97437695619476
-0.01201216390220183,-34.28496772201734,78.2395553918014
-0.01251093692574689,-34.08032864998145,78.46734713692921
-0.0108957722130609,-33.87505923306817,78.70458823860923
-0.01060790102419098,-33.66857549912237,78.85565329672231
-0.01162815697986154,-33.45706845322491,78.96613069398055
-0.01131214599404596,-33.25391246568996,79.20991557038995
-0.01004188096796641,-33.05823928939746,79.41640000242472
-0.009865760108907756,-32.83529507623972,79.56068944105436
-0.01002207004220473,-32.63843835123233,79.7594931642731
-0.0100673130452508,-32.41829205377527,79.89895101305808
-0.01002817497778639,-32.21075430584274,80.0887993000041
-0.00894915190602075,-32.00932154413692,80.21917131469377
-0.008814987201359875,-31.79058625817601,80.41398409735086
-0.00820041576252206,-31.58972540050111,80.57369774543568
-0.008767513481259107,-31.3780588625642,80.63885864642339
-0.007674160732086287,-31.17606258434663,80.81344770078452
-0.007770478426056319,-30.95298295205833,80.8819089893791
-0.009739330060119775,-30.75261302528639,81.06253481665846
-0.007178870320028669,-30.54263729503209,81.18999717991272
-0.006262168262912319,-30.33222874291248,81.31565387037676
-0.005866722331988474,-30.12539615649747,81.44547757208147
-0.005291701943841558,-29.91287597371191,81.46603064225701
-0.004783429885577335,-29.71763527990545,81.58897311914737
-0.00424614894346691,-29.51438619544099,81.73362786208736
-0.004630935720888611,-29.30003291907728,81.83769521445758
-0.004087931465487603,-29.09680013936087,81.89491555340179
-0.009814400551342929,-28.88594490864122,81.99593731457173
-0.004950858143975662,-28.68934677699773,82.09725324140103
-0.002608501543837883,-28.46569053007174,82.1468704711491
-0.002342573183185176,-28.25979347949271,82.24920965951242
-0.004341444599763506,-28.05867119897574,82.25906618291081
-0.00105019978452695,-27.8519708442482,82.34492595544884
-0.0112982122884192,-27.64478456430833,82.4174082703849
-0.0003218270301306671,-27.43084610495023,82.43756394792715
-0.01409151118710365,-27.22162348131435,82.49752451930948
0.001320461533448557,-27.00852042917699,82.55708455704314
-0.006331780231564533,-26.79786292116014,82.62642687241508
0.001192525788549671,-26.59182506599742,82.63056654455097
0.001320712071861841,-26.37525842503234,82.66715495866123
-0.01250909672512403,-26.16743080883445,82.6982326266499
0.00277973220502616,-25.95607303403152,82.67796375399064
0.004377694584003199,-25.74398944104423,82.75065584981024
0.0007819526169780464,-25.52718711580733,82.76465226017108
-0.01083502230788312,-25.32789498086854,82.79197126205065
0.002314238513614934,-25.12675572083896,82.78617264999085
0.005563588598120983,-24.91599861489058,82.7472996344443
0.006315923217932914,-24.70123100846,82.76949802269843
0.006828916027767652,-24.49688545006525,82.80712006192695
0.007633811210446324,-24.28681590192058,82.76898248315695
0.007673335771887419,-24.07874037790142,82.78182766991915
0.00855132280626604,-23.86636793526475,82.7684607275872
0.009418995582829805,-23.66221217336891,82.73782161581045
0.009465826793655784,-23.44802392194866,82.70460724448218
0.01016197563922703,-23.23824220993846,82.67389767554475
0.01061931665590229,-23.02829077714207,82.66373607279768
0.01035433893321859,-22.81921332483609,82.6338511628346
0.01154428915654143,-22.61655821411027,82.54997407874228
0.01083487563514671,-22.40321482113107,82.54737550015467
0.0005920800221061713,-22.1928531100606,82.52253875948384
0.01144147561064698,-21.98666130448498,82.4057507246614
0.01364806788532306,-21.78015425992916,82.38869876707628
0.01320618564142852,-21.56439009590349,82.32245975369878
0.01458072514687774,-21.36198920629425,82.27539949940132
0.007604516896467909,-21.14695047709143,82.20935160313681
0.01542481998739053,-20.93914082720124,82.14648142113849
0.01543134078752596,-20.73013346892219,82.04212574042927
0.0090868221106177,-20.52149527292995,81.95171146273765
0.01747833104906791,-20.31173695969593,81.88084196504407
0.01670904108557637,-20.10565111140997,81.80621397566948
0.007012456869792482,-19.8985406764777,81.7353274533254
0.01795152420163942,-19.69221265983492,81.62802664615245
0.01898529500761542,-19.48205128358011,81.53091111406945
0.01844608056954655,-19.27359388419525,81.39895708788259
0.01960633071030612,-19.06722824480167,81.28688063957404
0.007076528705206865,-18.85659100571471,81.15944706193682
0.01991825052578569,-18.65042559586358,81.04190940834725
0.01956370615942855,-18.44224277097096,80.92702296588925
0.01012479834666736,-18.23535540298113,80.7882422593748
0.02223531174546156,-18.02513274609792,80.63395680161338
0.01274378698597333,-17.8199125822093,80.51958449345915
0.02357237080988241,-17.61158376793173,80.38451724389233
0.01425539529305506,-17.40632483900228,80.21449085773772
0.02292581924351864,-17.19516873443208,80.06983944396234
0.01317964136306591,-16.989677945485,79.91018273286754
0.01201932224137912,-16.78530834651436,79.7378448089345
0.02664284589150077,-16.57904307957001,79.55779464384283
0.02722917490775817,-16.37157455226788,79.37673801897921
0.0273012588773534,-16.16487035906379,79.21035067377157
0.02852077891889032,-15.95767486036452,79.01597927948627
0.02550295286381333,-15.75447078428054,78.8154133078
0.02096376277528389,-15.54654899596176,78.61984262908101
0.02958774114935488,-15.34286280314673,78.40988671771422
0.03031620889887932,-15.13866102412968,78.20154586762476
0.03021407900215462,-14.93337961890796,77.96522441883366
0.03155699412082775,-14.73090719350425,77.7671089972178
0.03176678070536475,-14.52681995088241,77.52344768543534
0.03331799298938635,-14.322416393334,77.30073504872792
